"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G2MMP7G2","journalArticle","1994","Zimmermann, Ferdinand","Muttersprachlicher Arabischunterricht in Nordrhein-Westfalen - Materialien für den Unterricht","Arabischunterricht in Deutschland: bewährte Ziele, neue Perspektiven. Vorträge der 4. Arabischlehrerkonferenz in Bochum, 18.-20. Juni 1993","","","","","","1994","2018-04-15 16:02:33","2018-04-18 10:46:10","","123-139","","","","","","","","","","","","","English","","","","","","","(biblid:zimmermann_1994_2986)","","","","Arabic language; Arabic language: classical & literary: Teaching; chrestomathies; teaching materials; Germany - Muslim minorities; Minorities (Muslim) - Germany; Education - Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3LBSVXH","bookSection","2007","Ziamari, Karima; Miller, Catherine","Development and linguistic change in Moroccan Arabic-French codeswitching","Arabic in the city","","","","","","2007","2018-04-15 16:02:33","2018-04-28 10:03:32","","275-290","","","","","","","","","","","","","","","","","","","","(biblid:ziamari_2007_0000)","","","","reg:Maghreb []; reg:Morocco [31.46, -6.39]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLYGK5NN","journalArticle","2006","Ziamari, Karima","La construction SN dyal SN en code switching arabe marocaine/français: les failles du Matrix Language Frame","","","","","","","2006","2018-04-15 16:02:33","2018-04-15 16:02:33","","499-509","","","","","","","","","","","","","","","","","","","","(biblid:ziamari_2006_0000)","","","","reg:Maghreb []; reg:Morocco [31.46, -6.39]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMP35BYK","journalArticle","1994","Zhamkochyan, A.S.","Ĭusuf al-Magribi i samarityanskoe pyatiknizhie","Peterburgskoe Vostokovedenie","","","","","","1994","2018-04-15 16:02:33","2018-04-15 16:02:33","","583-584","","","5","","","","","","","","","","","","","","","","","(biblid:zhamkochyan_1994_0000)","","","","reg:Maghreb []","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6C4XKM9W","journalArticle","2000","Zeroual, Chakir","Analyse par fibroscopie des consonnes arrières et emphatiques de l'arabe marocain","Langues et Littératures du Monde Arabe","","16255194","","","","2000","2018-04-15 16:02:33","2018-04-15 16:02:33","","113-138","","","1","","","","","","","","","","","","","","","","","(biblid:zeroual_2000_0000)","","","","vt:phonology; reg:Maghreb []; reg:Morocco [31.46, -6.39]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UX9BTLFV","journalArticle","1995","Zellal, Nacira","Réalité sociolinguistique et adoption des tests orthophoniques","Langues et Littératures / Ādāb wa-Lughāt (Algiers)","","","","","","1995","2018-04-15 16:02:33","2018-04-15 16:02:33","","13-20","","","6","","","","","","","","","","","","","","","","","(biblid:zellal_1995_0000)","","","","vt:phonology; vt:sociolinguistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KWSH5CE","journalArticle","2002","Zawaydeh, Bushra Adnan","Discovering Arabic rhythm through a speech cycling task","","","","","","","2002","2018-04-15 16:02:33","2018-04-15 16:02:33","","39-58","","","","","","","","","","","","","","","","","","","","(biblid:zawaydeh_2002_0000)","","","","vt:phonology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHMICUMG","journalArticle","1999","Zawaydeh, Bushra Adnan","Hypocoristic formation in Ammani-Jordanian Arabic","","","","","","","1999","2018-04-15 16:02:33","2018-04-15 16:02:33","","113-139","","","Amsterdam: Benjamins, 1999, (Amsterdam Studies in the Theory and History of Linguistic Science: Series IV, Current Issues in Linguistic Theory, 190),","","","","","","","","","","","","","","","","","(biblid:zawaydeh_1999_0000)","","","","reg:Syro-Palestine [32.93, 36.53]; reg:Jordan [31.26, 36.15]; geo:Amman [31.94, 35.92]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7EEJJAC","journalArticle","1998","Zawaydeh, Bushra Adnan","Gradient uvularization spread in Ammani-Jordanian Arabic","","","","","","","1998","2018-04-15 16:02:33","2018-04-15 16:02:33","","117-141","","","Amsterdam: Benjamins, 1998, (Amsterdam Studies in the Theory and History of Linguistic Science: Series IV, Current Issues in Linguistic Theory, 167),","","","","","","","","","","","","","","","","","(biblid:zawaydeh_1998_0000)","","","","reg:Syro-Palestine [32.93, 36.53]; geo:Amman [31.94, 35.92]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJTZ3Q75","journalArticle","1997","Zawaydeh, Bushra Adnan","On an optimality-theoretic account of epenthesis and syncope in Arabic dialects","","","","","","","1997","2018-04-15 16:02:33","2018-04-15 16:02:33","","191-213","","","Amsterdam: Benjamins, 1997, (Current Issues in Linguistic Theory, 153),","","","","","","","","","","","","","","","","","(biblid:zawaydeh_1997_0000)","","","","vt:phonology; vt:linguistics/dialectology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A7R7TY3P","journalArticle","1994","Zanón Bayón, J.","La lengua árabe (árabe literal y árabe dialectal)","","","","","","","1994","2018-04-15 16:02:33","2018-04-15 16:02:33","","19-23","","","Alicante: Area de Estudios Árabes e Islámicos, Universidad de Alicante, 1994","","","","","","","","","","","","","","","","","(biblid:zanon_bayon_1994_0000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQWDJWDN","journalArticle","1999","Zafrani, Haïm","The Judaeo-Muslim cultural world in Morocco: written and spoken","Diogenes","","0392-1921","","","","1999","2018-04-15 16:02:33","2018-04-15 16:02:33","","71-82","","","187","","","","","","","","","","English","","","","","","","(biblid:zafrani_1999_4512)","","","","Morocco; sociology; Morocco Anthropology; Anthropology & ethnography - Morocco; Judaism & Jews - Morocco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2F3FQUZ","journalArticle","1969","Zafrani, Haïm","Une qəṣṣa de Tinġir: hymne a Bar Yoḥay","Revue des Études Juives no. 1968","","0484-8616","","","","1969","2018-04-15 16:02:33","2018-04-15 16:02:33","","366-382","","","127","","","","","","","","","","French","","","","","","","(biblid:zafrani_1969_4435)","","","","Morocco; sociology; Morocco Anthropology; vt:Maghreb; vt:description of dialect; vt:transcribed texts; vt:oral poetry; vt:linguistics/dialectology; vt:oral narratives; vt:ethnographic record; reg:Morocco [31.46, -6.39]; geo:Tanger [35.75, -5.83]; Anthropology & ethnography - Morocco; Judaism & Jews - Morocco; vt:contact linguistics; vt:ethnic minorities; vt:ethnography; vt:Jewish dialects; vt:folklore; vt:oral literature; vt:customs & etiquette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWX6VNK6","journalArticle","1968","Zafrani, Haïm","Une histoire de Job en Judéo-Arabe du Maroc","Revue des Études Islamiques","","","","","","1968","2018-04-15 16:02:33","2018-04-15 16:02:33","","279-315","","","36","","","","","","","","","","English","","","","","","","(biblid:zafrani_1968_4438)","","","","vt:general/comparative study; vt:Maghreb; vt:description of dialect; vt:transcribed texts; vt:ethnographic record; reg:Morocco [31.46, -6.39]; vt:ethnic minorities; vt:Jewish dialects; vt:folklore; vt:manuscripts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52C4KBPT","journalArticle","1967","Zafrani, Haïm","Les langues juives du Maroc","Revue de l'Occident Musulman et de la Méditerranée","","","","","","1967","2018-04-15 16:02:33","2018-04-15 16:02:33","","175-188","","","4","","","","","","","","","","English","","","","","","","(biblid:zafrani_1967_4093)","","","","Morocco; sociology; Spanish language; Morocco Anthropology; Anthropology & ethnography - Morocco; Arabic language: Judaeo-Arabic; Judaeo-Arabic; Judaism & Jews - Morocco; Judaeo-Spanish; Judaeo-Berber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GXCWL4V","journalArticle","1966","Zafrani, Haim","La lecture traditionnelle de l'hébreu chez les juifs arabophones de Tiznit (Maroc)","Comptes Rendus du Groupe Linguistique d'Etudes Chamito-Sémitiques: G.L.E.C.S","","","","","","1966","2018-04-15 16:02:33","2018-04-18 15:42:53","","29-33","","1963-1966","10","","","","","","","","","","","","","","","","","(biblid:zafrani_1966_0000)","","","","Morocco; reg:Morocco [31.46, -6.39]; geo:Tiznit [29.69, -9.73]; Arabic language: non-classical: Colloquial Arabic dialects North Africa & Spain; Arabic language: colloquial - Moroccan; Arabic language: Judaeo-Arabic; Judaeo-Arabic; Judaism & Jews - Morocco; Hebrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FIZRUU9T","journalArticle","2004","Zack, Elisabeth","Colloquial Arabic in the 17th century: Yūsuf al-Maġribī's Egyptian-Arabic wordlist","","","","","","","2004","2018-04-15 16:02:33","2018-04-15 16:02:33","","373-389","","","","","","","","","","","","","","","","","","","","(biblid:zack_2004_0000)","","","","vt:glossary; vt:linguistics/dialectology; reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LU49J656","journalArticle","1995","Zaborski, A.","First person pronouns in Arabic in the light of Arabic and Hamito-Semitic dialectology","","","","","","","1995","2018-04-15 16:02:33","2018-04-15 16:02:33","","289-304","","","Helsinki: Finnish Oriental Society, 1995, (Studia Orientalia, 75),","","","","","","","","","","","","","","","","","(biblid:zaborski_1995_0000)","","","","vt:morphology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YJS9Y38","journalArticle","1999","Zaboot, T.","L'alternance codique: un fonctionnement idiosyncrasique","Langues et Littératures (Algiers)","","","","","","1999","2018-04-15 16:02:33","2018-04-15 16:02:33","","147-163","","","9","","","","","","","","","","","","","","","","","(biblid:zaboot_1999_0000)","","","","vt:linguistics/dialectology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8KXAKFXU","journalArticle","1988","Yrttiaho, K.","Texts from Arabia Petraea in the dialect of the semi-nomadic an-Nʿēmāt tribe of the Shara mountains (Jordan)","Studia Orientalia","","","","","","1988","2018-04-15 16:02:33","2018-04-15 16:02:33","","145-168","","","64","","","","","","","","","","","","","","","","","(biblid:yrttiaho_1988_0001)","","","","reg:Jordan [31.26, 36.15]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YUGNGBF","journalArticle","2000","Youssi, Abderrahim","Types of Multi-Lingualism and Multi-Dialectalism across the Arabic Speaking Communities","Estudios de Dialectología Norteafricana y Andalusí","","","","","","2000","2018-04-15 16:02:33","2018-04-15 16:02:33","","7-28","","","5","","","","","","","","","","","","","","","","","(biblid:youssi_2000-2001_4463)","","","","vt:general/comparative study; vt:Maghreb; vt:description of dialect; vt:transcribed texts; vt:Arab World general; vt:Arabic as a minority language; vt:linguistics/dialectology; vt:contact linguistics; vt:ethnic minorities","","Aguadé, Jordi; Corriente, Frederico; Cervera, M. J.; Ferrando, Ignacio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VFRDNCN2","journalArticle","1995","Youssi, Abderrahim","The Moroccan Triglossia: Facts and Implications","International Journal of the Sociology of Language","","","https://doi.org/10.1515/ijsl.1995.112.29","","","1995","2018-04-15 16:02:33","2018-05-03 16:24:14","","29-48","","1","112","","","","","","","","","","","","","","","","","(biblid:youssi_1995_4508)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBPCGRMQ","conferencePaper","1995","Youssi, Abderrahim","Sémiologie culturelle des structures figées (éléments de dialectologie maghrébine)","Dialectologie et sciences humaines au Maroc : Actes de la Première Table Ronde de Dialectologie","","","","","","1995","2018-04-15 16:02:33","2018-05-03 16:31:55","","161-184","","","","","","","","","","","","Marrakech","","","","","","","","(biblid:youssi_1995_0000)","","","","vt:sociolinguistics; reg:Maghreb []","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dialectologie et sActes de la Première Table Ronde de Dialectologie; Marrakech 29-30.11.1991","","","","","","","","","","","","","","",""
"NLQY4DMZ","journalArticle","1982","Youssi, Abderrahim","Emphasis as a Prosodic Feature in Moroccan Arabic","Langues et littératures","","","","","","1982","2018-04-15 16:02:33","2018-04-15 16:02:33","","185-208","","","2","","","","","","","","","","","","","","","","","(biblid:youssi_1982_4578)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
